Block ,P number ,Type ,Spacing,Tree number,Basal Area1,Basal Area2,Basal Area3,Total B.A(mm),Total Dry Biomass(Kg),stem(Kg),Live Branches(Kg),Dead branches(Kg)
1,36,D,5,156,186.28918,,,186.28918,0.392141028,0.452470417,0.018717661,0.004655085
1,36,D,5,157,467.65528,128.69632,,596.3516,1.397484698,1.612482344,0.085823757,0.015659172
1,36,D,5,158,156.165255,,,156.165255,0.323426983,0.373184981,0.014859126,0.003873121
1,36,D,5,159,829.684375,572.6295,,1402.313875,3.555721303,4.10275535,0.262797382,0.038188345
1,36,D,5,160,951.27192,260.18902,,1211.46094,3.030636829,3.496888649,0.217002811,0.032785997
1,36,D,5,161,934.941375,,,934.941375,2.283673707,2.635008123,0.154593985,0.025024752
1,36,D,5,162,206.14662,307.94742,,514.09404,1.188349113,1.371172053,0.070671207,0.013414144
1,36,D,5,163,1365.898095,260.18902,107.527095,1733.61421,4.482571515,5.172197902,0.346873381,0.047638911
1,36,D,5,164,1405.487295,422.78752,156.165255,1984.44007,5.195454701,5.994755424,0.41397927,0.054846303
1,36,D,5,165,1385.622,102.08358,,1487.70558,3.792856492,4.376372876,0.283935853,0.040615912
1,36,D,5,166,221.69952,490.9375,,712.63702,1.697642332,1.958818075,0.108358786,0.018855175
1,36,D,5,167,380.182,1250.523855,,1630.705855,4.192760121,4.83780014,0.320174855,0.044694371
1,12,C,5,30,1250.523855,390.621295,93.325255,1734.470405,4.484989533,5.174987923,0.347097613,0.047663442
1,12,C,5,31,437.49208,,,437.49208,0.996347877,1.149632165,0.057217883,0.011337193
1,12,C,5,32,1802.259055,730.711375,314.2,2847.17043,7.706438879,8.89204486,0.663997338,0.079910063
1,12,C,5,33,984.35718,774.47158,,1758.82876,4.553826949,5.254415711,0.353491186,0.048361535
1,12,C,5,34,1948.07142,1146.23302,,3094.30444,8.439880648,9.738323825,0.740421299,0.087154742
1,12,C,5,35,394.13248,208.699495,,602.831975,1.414079183,1.631629827,0.087046414,0.015836625
1,12,C,5,36,,,,,,,,
1,12,C,5,37,,,,,,,,
1,12,C,5,38,1534.58422,564.17752,,2098.76174,5.523209188,6.372933679,0.445466809,0.058144517
1,12,C,5,39,530.998,,,530.998,1.231089994,1.420488455,0.073727849,0.013874324
1,12,C,5,40,1018.008,475.35318,,1493.36118,3.808607426,4.39454703,0.285349398,0.040776907
1,12,C,5,41,1493.20408,193.617895,,1686.821975,4.350592304,5.019914197,0.334671115,0.046299084
1,12,C,5,42,845.07232,697.55542,,1542.62774,3.946046202,4.553130233,0.29773245,0.042180435
1,12,C,5,43,304.844695,,,304.844695,0.671512413,0.774822014,0.035660885,0.007779119
1,12,C,5,44,1346.31558,1213.196895,113.112,2672.624475,7.191922051,8.298371598,0.611232408,0.074809283
1,12,C,5,45,490.9375,,,490.9375,1.13000971,1.303857358,0.066534224,0.012784799
1,12,C,5,46,929.52928,881.527375,,1811.056655,4.701719571,5.425061044,0.36729198,0.049859732
1,12,C,5,47,240.559375,,,240.559375,0.5184589,0.598221807,0.026156144,0.006077044
1,12,C,5,48,1590.6375,422.78752,160.626895,2174.051915,5.739969023,6.62304118,0.466496999,0.060320871
1,12,C,5,49,1269.39942,136.86552,,1406.26494,3.566664777,4.115382435,0.263766891,0.038300532
1,12,C,5,50,1870.62112,1288.416375,,3159.037495,8.632907424,9.961047027,0.760759339,0.089056538
1,12,C,5,51,1847.692375,111.234655,,1958.92703,5.122543966,5.910627654,0.407027257,0.054111333
1,12,C,5,52,716.40742,191.15928,,907.5667,2.210743249,2.550857595,0.148696739,0.024261306
1,12,C,5,53,196.09222,160.626895,,356.719115,0.797249447,0.919903208,0.0438041,0.009164008
1,12,C,5,54,1134.262,271.75158,,1406.01358,3.565968487,4.114579024,0.263705188,0.038293394
1,12,C,5,55,,,,,,,,
1,12,C,5,58,576.879055,,,576.879055,1.347721446,1.555063207,0.082174628,0.015126449
1,12,C,5,59,1878.295455,448.685455,,2326.98091,6.182362567,7.133495269,0.509904024,0.064751255
1,12,C,5,60,967.743855,551.617375,141.04438,1660.40561,4.276232332,4.93411423,0.327828216,0.045543386
1,12,C,5,61,929.52928,363.097375,248.87782,1541.504475,3.942908072,4.549509314,0.297448742,0.042148414
1,12,C,5,62,984.35718,973.26592,183.877695,2141.500795,5.64616823,6.514809496,0.457376691,0.059379541
